Fecha;Sitio;pH;Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (ľS/cm);Clorofila (ľg/L)
23/01/2020;Centro-Weiss G;7.365643623;-0.06;6.34;20.9;445.2;2.13
23/01/2020;Centro-Weiss G;7.390253568;-0.06;6.34;20.9;445.2;2.13
23/01/2020;Centro-Weiss G;7.41858311;-0.06;6.34;20.9;445.2;2.13
23/01/2020;Centro-Weiss G;7.449989894;-0.059901262;6.340008817;20.90015697;445.1999118;2.129691291
23/01/2020;Centro-Weiss G;7.484860611;-0.059325522;6.340610493;20.89941778;445.1938951;2.133347677
23/01/2020;Centro-Weiss G;7.521949556;-0.064820189;6.338045104;20.89542257;445.219549;2.135866865
23/01/2020;Centro-Weiss G;7.557038874;-0.073399966;6.331481527;20.89658261;445.2851847;2.103159061
23/01/2020;Centro-Weiss G;7.587647681;-0.066390096;6.329537007;20.90061273;445.3047104;2.083557312
23/01/2020;Centro-Weiss G;7.617967458;-0.055576797;6.330534139;20.90004878;445.3;2.010746899
23/01/2020;Centro-Weiss G;7.646876139;-0.050272725;6.328263843;20.9;445.2994166;2.046083295
23/01/2020;Centro-Weiss G;7.698876745;-0.044884664;6.321886592;20.9;445.2985574;2.11664803
23/01/2020;Centro-Weiss G;7.692173573;-0.049548953;6.320196299;20.9;445.3362362;2.129856405
23/01/2020;Centro-Weiss G;7.628297312;-0.063050218;6.314616408;20.9;445.3911028;2.138531238
23/01/2020;Centro-Weiss G;7.476987337;-0.073407877;6.303488958;20.9;445.4023034;2.047768609
23/01/2020;Centro-Weiss G;7.307330826;-0.084366001;6.293343597;20.9;445.4000358;1.833667193
23/01/2020;Centro-Weiss G;7.111627325;-0.094206071;6.282483235;20.90319564;445.4;1.638322365
23/01/2020;Centro-Weiss G;6.99211616;-0.100011888;6.268949208;20.89168018;445.4;1.731651039
23/01/2020;Centro-Weiss G;6.904424777;-0.104956529;6.248176354;20.83586905;445.3971489;1.829447625
23/01/2020;Centro-Weiss G;6.845837144;-0.104877362;6.235203325;20.79689699;445.4103337;1.739686904
23/01/2020;Centro-Weiss G;6.800801599;-0.104724906;6.224251765;20.79952923;445.4731293;1.587966256
23/01/2020;Centro-Weiss G;6.768247153;-0.100948508;6.216041002;20.8;445.5052259;1.469802381
23/01/2020;Centro-Weiss G;6.726181383;-0.093803023;6.205870756;20.8;445.5001933;1.552726423
23/01/2020;Centro-Weiss G;6.683548339;-0.099470889;6.197782596;20.8;445.5008575;1.633927669
23/01/2020;Centro-Weiss G;6.63969006;-0.106476051;6.189755227;20.8;445.4880077;1.711972049
23/01/2020;Centro-Weiss G;6.61524672;-0.102403926;6.179223326;20.8;445.4866764;1.768301131
23/01/2020;Centro-Weiss G;6.614806305;-0.100014895;6.172079162;20.8;445.5010456;1.77468653
23/01/2020;Centro-Weiss G;6.642813107;-0.101291481;6.161249259;20.8;445.5000573;1.826288218
23/01/2020;Centro-Weiss G;6.678771836;-0.099130158;6.151277814;20.8;445.5;1.794286862
23/01/2020;Centro-Weiss G;6.713662965;-0.094104255;6.143110026;20.8;445.5;1.829174387
23/01/2020;Centro-Weiss G;6.735082111;-0.092490904;6.131804445;20.8;445.5;2.015127998
23/01/2020;Centro-Weiss G;6.75332469;-0.08781466;6.12246575;20.8;445.5;2.024501314
23/01/2020;Centro-Weiss G;6.769343429;-0.074864078;6.11248599;20.8;445.5;1.937832148
23/01/2020;Centro-Weiss G;6.790268906;-0.073981232;6.104297331;20.8;445.4999631;1.837937323
23/01/2020;Centro-Weiss G;6.810256362;-0.088756626;6.09108519;20.8;445.4970712;1.619210283
23/01/2020;Centro-Weiss G;6.829935435;-0.101334984;6.080871676;20.8;445.5073369;1.517058162
23/01/2020;Centro-Weiss G;6.84303175;-0.10488212;6.073455848;20.8;445.5604301;1.521877921
23/01/2020;Centro-Weiss G;6.848416996;-0.103943439;6.069530868;20.8;445.6004488;1.477867613
23/01/2020;Centro-Weiss G;6.843156783;-0.098529081;6.069923223;20.8;445.6012422;1.484920181
23/01/2020;Centro-Weiss G;6.822591596;-0.086438659;6.070096946;20.8;445.6;1.529169317
23/01/2020;Centro-Weiss G;6.793790447;-0.073955269;6.070220306;20.8;445.6;1.525899079
23/01/2020;Centro-Weiss G;6.754561876;-0.072407077;6.064628858;20.8;445.6;1.588760922
23/01/2020;Centro-Weiss G;6.723256403;-0.078378085;6.053499974;20.8;445.6;1.658852909
23/01/2020;Centro-Weiss G;6.697002802;-0.082045183;6.038132957;20.8;445.5999963;1.706047811
23/01/2020;Centro-Weiss G;6.688207016;-0.087154485;6.013312372;20.8;445.5991468;1.883333075
23/01/2020;Centro-Weiss G;6.673103604;-0.093003306;5.996976275;20.8;445.6072149;1.933098313
23/01/2020;Centro-Weiss G;6.650721201;-0.091380944;5.986633633;20.8;445.6133349;1.819478226
23/01/2020;Centro-Weiss G;6.604523899;-0.082489675;5.977393719;20.8;445.5974276;1.771582634
23/01/2020;Centro-Weiss G;6.543083912;-0.083304196;5.971550517;20.8;445.6359433;1.677595655
23/01/2020;Centro-Weiss G;6.46319754;-0.085893642;5.949078155;20.8;445.6942112;1.564055441
23/01/2020;Centro-Weiss G;6.385650004;-0.080932364;5.919362325;20.8;445.6987386;1.555220983
23/01/2020;Centro-Weiss G;6.31481219;-0.080457239;5.890139553;20.8;445.7418596;1.558337642
23/01/2020;Centro-Weiss G;6.252723657;-0.088519835;5.83922568;20.8;445.7983998;1.542697512
23/01/2020;Centro-Weiss G;6.209971746;-0.097629336;5.798806307;20.8;445.8074091;1.530054041
23/01/2020;Centro-Weiss G;6.178273941;-0.100422875;5.762654803;20.8;445.7758553;1.421155141
23/01/2020;Centro-Weiss G;6.158580648;-0.100078274;5.731030638;20.8;445.7125533;1.274235104
23/01/2020;Centro-Weiss G;6.139070009;-0.099350001;5.712905575;20.8;445.6967959;1.243716785
23/01/2020;Centro-Weiss G;6.121202997;-0.101073922;5.678627196;20.8;445.7;1.306988178
23/01/2020;Centro-Weiss G;6.101287253;-0.096554258;5.652675327;20.8;445.6989019;1.382684103
23/01/2020;Centro-Weiss G;6.077662159;-0.094773935;5.632990128;20.8;445.7048009;1.424731003
23/01/2020;Centro-Weiss G;6.050988098;-0.104741823;5.598780498;20.8;445.7064189;1.49280541
23/01/2020;Centro-Weiss G;6.01453665;-0.114009357;5.578951405;20.8;445.7001563;1.508534863
23/01/2020;Centro-Weiss G;5.97092227;-0.125520197;5.563088722;20.8;445.6999235;1.457074333
23/01/2020;Centro-Weiss G;5.918787923;-0.132947497;5.549888109;20.8;445.7005998;1.469207243
23/01/2020;Centro-Weiss G;5.865178232;-0.135476476;5.541192133;20.8;445.7052503;1.372452911
23/01/2020;Centro-Weiss G;5.80633286;-0.132892788;5.516785249;20.8;445.6683737;1.214435493
23/01/2020;Centro-Weiss G;5.740388666;-0.125184202;5.514365118;20.80220433;445.6002576;1.232344864
23/01/2020;Centro-Weiss G;5.666637082;-0.122369638;5.371813429;20.79838832;445.4810894;1.263785298
23/01/2020;Centro-Weiss G;5.58730979;-0.131222875;5.057050473;20.74690729;445.3095583;1.265385672
23/01/2020;Centro-Weiss G;5.509437196;-0.143832688;4.946971986;20.69945385;445.1897061;1.282478268
23/01/2020;Centro-Weiss G;5.43989094;-0.15508397;4.764886644;20.69854729;445.08125;1.182711536
23/01/2020;Centro-Weiss G;5.376995775;-0.172383677;4.368668846;20.70278591;445.0131755;1.032508022
23/01/2020;Centro-Weiss G;5.319305403;-0.181439197;4.148299239;20.69283188;444.9471774;0.941174978
23/01/2020;Centro-Weiss G;5.260884933;-0.17944813;3.714670054;20.64002547;444.6782852;0.867783245
23/01/2020;Centro-Weiss G;5.200085815;-0.184579223;3.269820464;20.59631781;444.3475739;0.813422734
23/01/2020;Centro-Weiss G;5.144112233;-0.21128741;3.100836693;20.54838358;444.0898013;0.66133031
23/01/2020;Centro-Weiss G;5.092696046;-0.235355449;2.991944529;20.49979342;443.9549484;0.564147205
23/01/2020;Centro-Weiss G;5.046614059;-0.243108499;2.73023362;20.49888391;443.795346;0.602612184
23/01/2020;Centro-Weiss G;4.993546096;-0.261546111;2.349467197;20.50495267;443.3182776;0.52302091
23/01/2020;Centro-Weiss G;4.939683559;-0.277761281;2.246500743;20.46917715;442.9421912;0.444065356
23/01/2020;Centro-Weiss G;4.879105569;-0.2889788;2.194602001;20.41080404;442.5802215;0.392979325
23/01/2020;Centro-Weiss G;4.830456942;-0.306608264;2.080947232;20.39557434;442.175722;0.309246467
23/01/2020;Centro-Weiss G;4.793010245;-0.302053114;1.93367321;20.39996039;441.9858765;0.259222417
23/01/2020;Centro-Weiss G;4.785554833;-0.26993673;1.743065281;20.4;441.8637373;0.274911843
23/01/2020;Centro-Weiss G;4.778317821;-0.258765797;1.646410598;20.4;441.7752479;0.311684521
23/01/2020;Centro-Weiss G;4.771589627;-0.282156999;1.566705989;20.4;441.6997844;0.354752899
23/01/2020;Centro-Weiss G;4.7459415;-0.295272042;1.492361213;20.4;441.6096792;0.33840275
23/01/2020;WP;8.632391957;0.02;6.87;21;446.3908113;2.44
23/01/2020;WP;8.612015362;0.02;6.87;21;446.4226214;2.44
23/01/2020;WP;8.613056892;0.019960709;6.87;21;446.4237628;2.44
23/01/2020;WP;8.603696061;0.020487698;6.870848109;21;446.3941447;2.428100997
23/01/2020;WP;8.615343617;0.019231453;6.865251345;21.00024952;446.330922;2.515255064
23/01/2020;WP;8.475615496;0.012605553;6.84900547;21.00365641;446.2310566;2.71417212
23/01/2020;WP;8.269845161;0.001516723;6.821255749;20.96858089;446.0944727;2.893311284
23/01/2020;WP;8.208239565;-0.015698558;6.786986077;20.9059846;445.9726773;3.054817008
23/01/2020;WP;7.872074879;-0.028233808;6.755356236;20.89623238;445.8558629;3.254133496
23/01/2020;WP;7.780864006;-0.022449933;6.717973248;20.9;445.7450175;3.414834951
23/01/2020;WP;7.849648952;-0.017813315;6.692013089;20.9;445.6099894;3.239837405
23/01/2020;WP;7.791157443;-0.010150836;6.642068488;20.9;445.4744721;2.870639547
23/01/2020;WP;7.708015468;0.001331062;6.602276319;20.9;445.3475434;2.645772213
23/01/2020;WP;7.731249188;-0.00508699;6.577019058;20.90224384;445.257429;2.652196827
23/01/2020;WP;7.760351508;-0.010153279;6.55631099;20.8998921;445.1975605;2.649406405
23/01/2020;WP;7.783432535;-0.002879109;6.53595802;20.84402603;445.1609154;2.602337413
23/01/2020;WP;7.775379004;-0.002454983;6.5148995;20.79578495;445.126339;2.524841327
23/01/2020;WP;7.773523606;0.00130219;6.503112282;20.79954974;445.0866636;2.420366715
23/01/2020;WP;7.78115912;0.0126118;6.481466247;20.8;445.0528732;2.325257776
23/01/2020;WP;7.767391366;0.012116724;6.462586052;20.8;445.0249799;2.253013653
23/01/2020;WP;7.786385682;0.00538417;6.443777363;20.8;444.9911369;2.266073688
23/01/2020;WP;7.759499007;0.006290417;6.415754182;20.8;444.9594871;2.348597407
23/01/2020;WP;7.767487913;0.008512029;6.396291352;20.8;444.9318184;2.326854201
23/01/2020;WP;7.795645626;0.009549866;6.371038453;20.8;444.9066182;2.296025449
23/01/2020;WP;7.807498457;0.013869203;6.343454102;20.8;444.8971535;2.423803024
23/01/2020;WP;7.798874032;0.030273943;6.331244941;20.8;444.8956517;2.577851273
23/01/2020;WP;7.779340655;0.054602652;6.325160219;20.8;444.9011971;2.5502383
23/01/2020;WP;7.741229345;0.057100404;6.320386562;20.8;444.9055312;2.350175132
23/01/2020;WP;7.786318319;0.008864681;6.315768211;20.8;444.8938277;2.252360935
23/01/2020;WP;7.763053728;-0.045107986;6.310206707;20.8;444.8769526;2.253679886
23/01/2020;WP;7.684173197;-0.043535902;6.31078673;20.8;444.8570009;2.132253399
23/01/2020;WP;7.640438161;-0.013114694;6.309066803;20.8;444.8562412;2.053702337
23/01/2020;WP;7.625964169;0.01070874;6.272633588;20.8;444.8660257;1.885457698
23/01/2020;WP;7.629648138;0.014224111;6.197065755;20.8;444.8874113;1.566003814
23/01/2020;WP;7.618893343;-0.001706291;6.101187185;20.8;444.8997379;1.540293972
23/01/2020;WP;7.539962747;-0.020279473;6.038756178;20.8;444.9000621;1.793211102
23/01/2020;WP;7.498333986;-0.026792518;6.019355337;20.8;444.9016882;1.99171065
23/01/2020;WP;7.481084064;-0.030273419;6.008884841;20.8;444.9288693;1.939968887
23/01/2020;WP;7.455339615;-0.038329861;5.994265253;20.8;444.94916;1.69579735
23/01/2020;WP;7.436956922;-0.04376701;5.981177213;20.8;444.9526606;1.62634806
23/01/2020;WP;7.411875071;-0.04351496;5.977890267;20.8;444.9403393;1.735154725
23/01/2020;WP;7.376655874;-0.041898324;5.970672219;20.8;444.9163495;1.78029417
23/01/2020;WP;7.366209115;-0.051321857;5.963579;20.8;444.9217644;1.795908338
23/01/2020;WP;7.349260749;-0.054299625;5.958844647;20.8;444.9432904;1.808092523
23/01/2020;WP;7.33252116;-0.048158697;5.953139964;20.8;444.9786981;1.838922895
23/01/2020;WP;7.311968546;-0.053512408;5.947207454;20.8;445.0027379;1.831235707
23/01/2020;WP;7.271396005;-0.051561604;5.933745933;20.8;445.0088626;1.719084496
23/01/2020;WP;7.234239876;-0.041029973;5.921278964;20.8;444.9994248;1.653815264
23/01/2020;WP;7.211519016;-0.039273726;5.913302221;20.8;444.970054;1.666697355
23/01/2020;WP;7.199982878;-0.040323434;5.89777428;20.8;444.9498912;1.6142264
23/01/2020;WP;7.191410192;-0.044846411;5.884483381;20.8;444.9457828;1.58773708
23/01/2020;WP;7.175889942;-0.049933261;5.875402766;20.8;444.9560967;1.652674072
23/01/2020;WP;7.153260453;-0.055750317;5.869930624;20.8;444.9847324;1.762215363
23/01/2020;WP;7.109281647;-0.061997327;5.869934253;20.8;445.002526;1.813940325
23/01/2020;WP;7.076688309;-0.063713745;5.870217169;20.8;445.0096233;1.783538179
23/01/2020;WP;7.021038422;-0.058148285;5.867387922;20.8;445.0009131;1.829322883
23/01/2020;WP;7.015201911;-0.048669119;5.861494464;20.8;444.9754063;1.821656662
23/01/2020;WP;7.011743799;-0.050658797;5.859760728;20.8;444.9455003;1.670080576
23/01/2020;WP;6.999001011;-0.055586129;5.860293358;20.8;444.9146287;1.576505982
23/01/2020;WP;6.993563379;-0.050596138;5.858547544;20.8;444.9145109;1.596447279
23/01/2020;WP;7.10012959;-0.05056123;5.852631176;20.8;444.9369828;1.70785401
11/02/2020;Centro-Weiss G;8.653645925;0.636517811;7.965125482;21.6;452.1473987;1.603507195
11/02/2020;Centro-Weiss G;8.660264705;0.646372445;7.957433398;21.6;452.2396428;1.783967204
11/02/2020;Centro-Weiss G;8.666207103;0.642790877;7.957429538;21.6;452.2471388;1.789338196
11/02/2020;Centro-Weiss G;8.671562664;0.638241357;7.954882337;21.6;452.2779956;1.791520049
11/02/2020;Centro-Weiss G;8.676148385;0.624741019;7.95038132;21.6;452.3011761;1.989613511
11/02/2020;Centro-Weiss G;8.680383468;0.619948723;7.94930207;21.6;452.3003797;2.09476734
11/02/2020;Centro-Weiss G;8.683854149;0.625878319;7.94336263;21.6;452.3;2.075456966
11/02/2020;Centro-Weiss G;8.690337341;0.626949652;7.93955955;21.6;452.3;2.048027896
11/02/2020;Centro-Weiss G;8.700203333;0.617276127;7.939974996;21.6;452.3;2.039635308
11/02/2020;Centro-Weiss G;8.693978451;0.609003122;7.94;21.6;452.3;2.116642221
11/02/2020;Centro-Weiss G;8.677171617;0.60822833;7.940292385;21.6;452.3000615;2.173373914
11/02/2020;Centro-Weiss G;8.653981828;0.607400458;7.93846039;21.6;452.301066;2.186884307
11/02/2020;Centro-Weiss G;8.616727124;0.610836685;7.931543568;21.6;452.2517597;2.289610679
11/02/2020;Centro-Weiss G;8.576471897;0.616465326;7.929775828;21.6;452.1812228;2.356089599
11/02/2020;Centro-Weiss G;8.539430555;0.630259089;7.92843374;21.6;452.1039663;2.297162074
11/02/2020;Centro-Weiss G;8.500454416;0.644115122;7.9217968;21.6005568;451.9795041;2.270500339
11/02/2020;Centro-Weiss G;8.470462228;0.645105668;7.919714021;21.60425659;451.8484729;2.37092454
11/02/2020;Centro-Weiss G;8.451546221;0.650067068;7.920119171;21.55768337;451.7409444;2.436180791
11/02/2020;Centro-Weiss G;8.422151137;0.665641305;7.914705533;21.50086748;451.5453633;2.485220138
11/02/2020;Centro-Weiss G;8.38207325;0.676752152;7.909934336;21.49780242;451.3942255;2.556786806
11/02/2020;Centro-Weiss G;8.339064918;0.668605464;7.907253915;21.50004342;451.2188005;2.707116768
11/02/2020;Centro-Weiss G;8.289499476;0.664109752;7.901322249;21.50399767;451.0053133;2.851941642
11/02/2020;Centro-Weiss G;8.238131616;0.680418796;7.912618838;21.47678531;450.8311989;2.959859879
11/02/2020;Centro-Weiss G;8.195594571;0.693207849;7.830541919;21.41256948;450.4303074;3.312217799
11/02/2020;Centro-Weiss G;8.154911473;0.685060565;7.558058152;21.34934422;449.878689;3.831032325
11/02/2020;Centro-Weiss G;8.119543249;0.664618784;7.372929002;21.3008173;449.4426643;4.193168128
11/02/2020;Centro-Weiss G;8.091873667;0.627405957;7.164286905;21.15003477;448.0145466;5.266110158
11/02/2020;Centro-Weiss G;8.064680331;0.595552707;7.016557626;21.0049504;446.7010238;6.082625437
11/02/2020;Centro-Weiss G;8.037244805;0.576715945;6.943929611;20.96466914;446.5165874;5.766925435
11/02/2020;Centro-Weiss G;8.011260428;0.568734706;6.832145156;20.90737252;446.4107766;5.189597596
11/02/2020;Centro-Weiss G;7.985166019;0.560667769;6.766349025;20.89814602;446.3924279;4.788110851
11/02/2020;Centro-Weiss G;7.959540494;0.531620036;6.669748124;20.9;446.3306482;4.457847506
11/02/2020;Centro-Weiss G;7.939138345;0.511387159;6.588038219;20.9;446.2502829;4.21322323
11/02/2020;Centro-Weiss G;7.922941919;0.504130893;6.541407763;20.9;446.2041142;3.966837003
11/02/2020;Centro-Weiss G;7.908470648;0.469012964;6.428359617;20.9;446.1584623;3.501595035
11/02/2020;Centro-Weiss G;7.896426242;0.41320995;6.275494658;20.9;446.159068;2.927695509
11/02/2020;Centro-Weiss G;7.885556329;0.401003301;6.199351399;20.9;446.1865905;2.594190258
11/02/2020;Centro-Weiss G;7.876486837;0.412297701;6.160219288;20.9;446.1256245;2.556293591
11/02/2020;Centro-Weiss G;7.868632345;0.41100369;6.136348428;20.9;446.0531733;2.398780158
11/02/2020;Centro-Weiss G;7.859395029;0.398421118;6.109278485;20.9;445.9295202;2.180308948
11/02/2020;Centro-Weiss G;7.850224026;0.400918901;6.095788768;20.9;445.8956191;2.271380604
11/02/2020;Centro-Weiss G;7.840559198;0.420097604;6.083526645;20.90180066;445.9013133;2.323916331
11/02/2020;Centro-Weiss G;7.830304763;0.436688014;6.073979165;20.89460218;445.8969075;2.260602579
11/02/2020;Centro-Weiss G;7.819921524;0.436716546;6.068452864;20.83346748;445.8323419;2.17039716
11/02/2020;Centro-Weiss G;7.808235896;0.43020547;6.062916811;20.79590482;445.7962601;2.02062113
11/02/2020;Centro-Weiss G;7.796995954;0.426351471;6.055637765;20.79991;445.8021242;1.866543291
11/02/2020;Centro-Weiss G;7.786412448;0.417248964;6.050858061;20.8;445.7917939;1.751200834
11/02/2020;Centro-Weiss G;7.77623749;0.398964083;6.039039019;20.8;445.7154024;1.53466451
11/02/2020;Centro-Weiss G;7.772371536;0.387092575;6.025003606;20.8;445.6300042;1.311987959
11/02/2020;Centro-Weiss G;7.773876084;0.374787568;6.019868228;20.8;445.5848554;1.20135826
11/02/2020;Centro-Weiss G;7.776420796;0.361615033;6.012377656;20.8;445.525053;1.115507895
11/02/2020;Centro-Weiss G;7.78464244;0.363645456;6.009556156;20.8;445.4955616;1.075441749
11/02/2020;Centro-Weiss G;7.791830923;0.368260886;6.010619128;20.8;445.4997275;1.082697506
11/02/2020;Centro-Weiss G;7.797203612;0.375573882;6.008622017;20.8;445.5;1.173434479
11/02/2020;Centro-Weiss G;7.800852117;0.391097476;5.991085053;20.8;445.5;1.328899576
11/02/2020;Centro-Weiss G;7.790519196;0.393611027;5.979398299;20.8;445.5030822;1.324963007
11/02/2020;Centro-Weiss G;7.770603061;0.412917703;5.959577069;20.8;445.455167;1.330030928
11/02/2020;Centro-Weiss G;7.750316114;0.427646369;5.939002641;20.8;445.4005737;1.344665953
11/02/2020;Centro-Weiss G;7.72191961;0.419546019;5.937611627;20.8;445.3668262;1.262685742
11/02/2020;Centro-Weiss G;7.700063896;0.404312975;5.937986571;20.8;445.3286994;1.188346385
11/02/2020;Centro-Weiss G;7.689785072;0.380765792;5.744127941;20.8;445.3979681;1.238143996
11/02/2020;Centro-Weiss G;7.68155555;0.379977875;5.515003554;20.8;445.464992;1.238563089
11/02/2020;Centro-Weiss G;7.677258702;0.377497859;5.42040327;20.8;445.5586087;1.090035422
11/02/2020;Centro-Weiss G;7.679443895;0.387435239;5.29206952;20.8;445.7691595;0.985866014
11/02/2020;Centro-Weiss G;7.668094957;0.415527588;5.230901566;20.80479435;445.9158514;1.051110111
11/02/2020;Centro-Weiss G;7.650112329;0.425536302;5.183706937;20.78645516;445.8284655;1.035070064
11/02/2020;Centro-Weiss G;7.62394063;0.421396714;4.866239055;20.72007338;445.6288717;0.84664827
11/02/2020;Centro-Weiss G;7.582357857;0.412712894;4.649125044;20.69375878;445.5842502;0.69736052
11/02/2020;Centro-Weiss G;7.538020592;0.398126399;4.519466004;20.699933;445.530484;0.663064378
11/02/2020;Centro-Weiss G;7.494966096;0.388665565;4.335928192;20.7;445.4828148;0.675326205
11/02/2020;Centro-Weiss G;7.450060488;0.383250511;4.129604104;20.7048006;445.3826472;0.67261649
11/02/2020;Centro-Weiss G;7.409811629;0.378589761;3.941856763;20.68833927;445.239716;0.667274027
11/02/2020;Centro-Weiss G;7.369813164;0.376674219;3.618400268;20.6221432;444.9748942;0.66681021
