Fecha;Sitio;Profundidad;pH;Clorofila (µg/L);Ficocianina (µg/L);Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (µS/cm)
23/01/2020;Centro-Weiss G;0;7.365643623;2.13;0.13;-0.06;6.34;20.9;445.2
23/01/2020;Centro-Weiss G;1;7.390253568;2.13;0.13;-0.06;6.34;20.9;445.2
23/01/2020;Centro-Weiss G;2;7.41858311;2.13;0.13;-0.06;6.34;20.9;445.2
23/01/2020;Centro-Weiss G;3;7.449989894;2.129691291;0.130139706;-0.059901262;6.340008817;20.90015697;445.1999118
23/01/2020;Centro-Weiss G;4;7.484860611;2.133347677;0.131451377;-0.059325522;6.340610493;20.89941778;445.1938951
23/01/2020;Centro-Weiss G;5;7.521949556;2.135866865;0.120402423;-0.064820189;6.338045104;20.89542257;445.219549
23/01/2020;Centro-Weiss G;6;7.557038874;2.103159061;0.106354411;-0.073399966;6.331481527;20.89658261;445.2851847
23/01/2020;Centro-Weiss G;7;7.587647681;2.083557312;0.084531201;-0.066390096;6.329537007;20.90061273;445.3047104
23/01/2020;Centro-Weiss G;8;7.617967458;2.010746899;0.064843691;-0.055576797;6.330534139;20.90004878;445.3
23/01/2020;Centro-Weiss G;9;7.646876139;2.046083295;0.072267994;-0.050272725;6.328263843;20.9;445.2994166
23/01/2020;Centro-Weiss G;10;7.698876745;2.11664803;0.080771408;-0.044884664;6.321886592;20.9;445.2985574
23/01/2020;Centro-Weiss G;11;7.692173573;2.129856405;0.088906172;-0.049548953;6.320196299;20.9;445.3362362
23/01/2020;Centro-Weiss G;12;7.628297312;2.138531238;0.126258285;-0.063050218;6.314616408;20.9;445.3911028
23/01/2020;Centro-Weiss G;13;7.476987337;2.047768609;0.157295911;-0.073407877;6.303488958;20.9;445.4023034
23/01/2020;Centro-Weiss G;14;7.307330826;1.833667193;0.151442198;-0.084366001;6.293343597;20.9;445.4000358
23/01/2020;Centro-Weiss G;15;7.111627325;1.638322365;0.154840442;-0.094206071;6.282483235;20.90319564;445.4
23/01/2020;Centro-Weiss G;16;6.99211616;1.731651039;0.136990408;-0.100011888;6.268949208;20.89168018;445.4
23/01/2020;Centro-Weiss G;17;6.904424777;1.829447625;0.131883481;-0.104956529;6.248176354;20.83586905;445.3971489
23/01/2020;Centro-Weiss G;18;6.845837144;1.739686904;0.135449394;-0.104877362;6.235203325;20.79689699;445.4103337
23/01/2020;Centro-Weiss G;19;6.800801599;1.587966256;0.120128619;-0.104724906;6.224251765;20.79952923;445.4731293
23/01/2020;Centro-Weiss G;20;6.768247153;1.469802381;0.113287113;-0.100948508;6.216041002;20.8;445.5052259
23/01/2020;Centro-Weiss G;21;6.726181383;1.552726423;0.110755081;-0.093803023;6.205870756;20.8;445.5001933
23/01/2020;Centro-Weiss G;22;6.683548339;1.633927669;0.107224132;-0.099470889;6.197782596;20.8;445.5008575
23/01/2020;Centro-Weiss G;23;6.63969006;1.711972049;0.09291915;-0.106476051;6.189755227;20.8;445.4880077
23/01/2020;Centro-Weiss G;24;6.61524672;1.768301131;0.075422152;-0.102403926;6.179223326;20.8;445.4866764
23/01/2020;Centro-Weiss G;25;6.614806305;1.77468653;0.051871706;-0.100014895;6.172079162;20.8;445.5010456
23/01/2020;Centro-Weiss G;26;6.642813107;1.826288218;0.043028561;-0.101291481;6.161249259;20.8;445.5000573
23/01/2020;Centro-Weiss G;27;6.678771836;1.794286862;0.061291354;-0.099130158;6.151277814;20.8;445.5
23/01/2020;Centro-Weiss G;28;6.713662965;1.829174387;0.070832739;-0.094104255;6.143110026;20.8;445.5
23/01/2020;Centro-Weiss G;29;6.735082111;2.015127998;0.068239507;-0.092490904;6.131804445;20.8;445.5
23/01/2020;Centro-Weiss G;30;6.75332469;2.024501314;0.08364231;-0.08781466;6.12246575;20.8;445.5
23/01/2020;Centro-Weiss G;31;6.769343429;1.937832148;0.128251619;-0.074864078;6.11248599;20.8;445.5
23/01/2020;Centro-Weiss G;32;6.790268906;1.837937323;0.152447894;-0.073981232;6.104297331;20.8;445.4999631
23/01/2020;Centro-Weiss G;33;6.810256362;1.619210283;0.118668947;-0.088756626;6.09108519;20.8;445.4970712
23/01/2020;Centro-Weiss G;34;6.829935435;1.517058162;0.087934604;-0.101334984;6.080871676;20.8;445.5073369
23/01/2020;Centro-Weiss G;35;6.84303175;1.521877921;0.0837845;-0.10488212;6.073455848;20.8;445.5604301
23/01/2020;Centro-Weiss G;36;6.848416996;1.477867613;0.074657581;-0.103943439;6.069530868;20.8;445.6004488
23/01/2020;Centro-Weiss G;37;6.843156783;1.484920181;0.067113601;-0.098529081;6.069923223;20.8;445.6012422
23/01/2020;Centro-Weiss G;38;6.822591596;1.529169317;0.045505723;-0.086438659;6.070096946;20.8;445.6
23/01/2020;Centro-Weiss G;39;6.793790447;1.525899079;0.030789795;-0.073955269;6.070220306;20.8;445.6
23/01/2020;Centro-Weiss G;40;6.754561876;1.588760922;0.034663939;-0.072407077;6.064628858;20.8;445.6
23/01/2020;Centro-Weiss G;41;6.723256403;1.658852909;0.047218555;-0.078378085;6.053499974;20.8;445.6
23/01/2020;Centro-Weiss G;42;6.697002802;1.706047811;0.069003811;-0.082045183;6.038132957;20.8;445.5999963
23/01/2020;Centro-Weiss G;43;6.688207016;1.883333075;0.084890552;-0.087154485;6.013312372;20.8;445.5991468
23/01/2020;Centro-Weiss G;44;6.673103604;1.933098313;0.077057741;-0.093003306;5.996976275;20.8;445.6072149
23/01/2020;Centro-Weiss G;45;6.650721201;1.819478226;0.065967663;-0.091380944;5.986633633;20.8;445.6133349
23/01/2020;Centro-Weiss G;46;6.604523899;1.771582634;0.081806819;-0.082489675;5.977393719;20.8;445.5974276
23/01/2020;Centro-Weiss G;47;6.543083912;1.677595655;0.09203581;-0.083304196;5.971550517;20.8;445.6359433
23/01/2020;Centro-Weiss G;48;6.46319754;1.564055441;0.090917599;-0.085893642;5.949078155;20.8;445.6942112
23/01/2020;Centro-Weiss G;49;6.385650004;1.555220983;0.076734425;-0.080932364;5.919362325;20.8;445.6987386
23/01/2020;Centro-Weiss G;50;6.31481219;1.558337642;0.059607198;-0.080457239;5.890139553;20.8;445.7418596
23/01/2020;Centro-Weiss G;51;6.252723657;1.542697512;0.050889102;-0.088519835;5.83922568;20.8;445.7983998
23/01/2020;Centro-Weiss G;52;6.209971746;1.530054041;0.037543354;-0.097629336;5.798806307;20.8;445.8074091
23/01/2020;Centro-Weiss G;53;6.178273941;1.421155141;0.029905292;-0.100422875;5.762654803;20.8;445.7758553
23/01/2020;Centro-Weiss G;54;6.158580648;1.274235104;0.02506733;-0.100078274;5.731030638;20.8;445.7125533
23/01/2020;Centro-Weiss G;55;6.139070009;1.243716785;0.036764407;-0.099350001;5.712905575;20.8;445.6967959
23/01/2020;Centro-Weiss G;56;6.121202997;1.306988178;0.046625699;-0.101073922;5.678627196;20.8;445.7
23/01/2020;Centro-Weiss G;57;6.101287253;1.382684103;0.04831155;-0.096554258;5.652675327;20.8;445.6989019
23/01/2020;Centro-Weiss G;58;6.077662159;1.424731003;0.037450407;-0.094773935;5.632990128;20.8;445.7048009
23/01/2020;Centro-Weiss G;59;6.050988098;1.49280541;0.041102948;-0.104741823;5.598780498;20.8;445.7064189
23/01/2020;Centro-Weiss G;60;6.01453665;1.508534863;0.046430172;-0.114009357;5.578951405;20.8;445.7001563
23/01/2020;Centro-Weiss G;61;5.97092227;1.457074333;0.028339458;-0.125520197;5.563088722;20.8;445.6999235
23/01/2020;Centro-Weiss G;62;5.918787923;1.469207243;0.012595817;-0.132947497;5.549888109;20.8;445.7005998
23/01/2020;Centro-Weiss G;63;5.865178232;1.372452911;0.009473799;-0.135476476;5.541192133;20.8;445.7052503
23/01/2020;Centro-Weiss G;64;5.80633286;1.214435493;0.009228614;-0.132892788;5.516785249;20.8;445.6683737
23/01/2020;Centro-Weiss G;65;5.740388666;1.232344864;0.002664415;-0.125184202;5.514365118;20.80220433;445.6002576
23/01/2020;Centro-Weiss G;66;5.666637082;1.263785298;0.003216903;-0.122369638;5.371813429;20.79838832;445.4810894
23/01/2020;Centro-Weiss G;67;5.58730979;1.265385672;0.020841619;-0.131222875;5.057050473;20.74690729;445.3095583
23/01/2020;Centro-Weiss G;68;5.509437196;1.282478268;0.033319561;-0.143832688;4.946971986;20.69945385;445.1897061
23/01/2020;Centro-Weiss G;69;5.43989094;1.182711536;0.029752016;-0.15508397;4.764886644;20.69854729;445.08125
23/01/2020;Centro-Weiss G;70;5.376995775;1.032508022;0.014905796;-0.172383677;4.368668846;20.70278591;445.0131755
23/01/2020;Centro-Weiss G;71;5.319305403;0.941174978;0.011938538;-0.181439197;4.148299239;20.69283188;444.9471774
23/01/2020;Centro-Weiss G;72;5.260884933;0.867783245;-0.006543781;-0.17944813;3.714670054;20.64002547;444.6782852
