pH,Temperatura (°C),Conductividad (μS/cm),Oxígeno Disuelto (mg/L),Turbidez (NTU),Clorofila (μg/L)
8.8,23.5,743,14.43,100,1378.8437
8.52,23.8,760,12.92,93,401.95286486486486
8.38,23.9,768,14.15,26,187.28595255745
8,23.1,782,9.61,233,1948.0460526315794
9.09,23.5,582,16.71,25,234.8338
8.66,24,605,8.76,18,189.5456
8.4,24,691,11,17,74.5211
8.23,23.1,685,9.64,36,292.4832
8.79,22.1,570,8.21,11,60.742499999999964
7.89,23,619,3.33,13,40.71750000000001
7.91,22.7,704,3.85,3,4.005000000000001
8.32,23,703,8.55,7,79.43249999999998
8.93,22.3,552,8.63,14,59.407499999999985
7.8,22.8,690,3.32,3,2.6699999999999964
7.54,23,692,3.28,NR,6741.75
9.17,24.4,608,13.5,29,97.95784999999998
9.2,29.1,680,21.2,220,465.93279999999993
8.3,28.8,803,4.84,14,33.54187500000002
8.48,25,755,10.25,90,828.3764
9.54,26.2,629,19.42,41,178.06674999999996
7.85,28.4,706,9.58,450,3447.023399999999
9.29,26.7,774,17.62,44,253.13380000000006
9.32,26.9,774,16.77,210,463.9391999999998
9.39,26.7,640,10.31,34,103.16434999999998
8.79,26.5,670,2.03,49,114.36499999999985
9.49,25.9,728,9.36,40,159.94634999999994
9.19,25.8,733,10.53,21,66.70995
9.46,26.2,611,11.64,13,36.26082500000001
8.53,26.6,651,10.54,28,102.37225000000001
9.06,25.9,704,11.92,18,86.46646666666666
9.48,26.5,715,17.15,22,97.31704999999992
9.27,25.8,587,9.9,10,60.13952499999999
8.14,27.6,659,4.21,22,39.502649999999996
9.2,28.7,737,10.7,160,194.7587
8.61,26.9,729,3.72,11,10.6355
9.46,27.6,561,15.46,20,239.97846568627455
8.98,29.2,604,12.57,32,114.05350000000001
9.43,28.1,652,17.95,41,369.50575000000003
9.38,28.1,657,0,270,1461.4244999999999
8.8,25.8,566,12.08,46,299.57400000000007
8.06,26,635,4.7,41,261.21500000000003
8,25.7,675,2.46,16,58.473
7.27,25.4,682,0.16,11,11.58483333333333
7.59,23.2,622,0.71,16,21.36
7.92,24,653,6.3,19,81.702
7.56,24,710,0.83,25,31.32799999999999
7.57,24,709,0.19,21,31.68400000000001
7.95,22.9,632,5.46,9,68.14433333333332
8.35,23.2,660,8.47,21,88.61433333333329
7.48,23,735,2.79,13,21.075200000000006
8.01,24.1,734,7.23,24,47.15219999999999
8.19,21.4,624,9.1,12,82.9035
8.51,23.4,659,11.66,23,91.67
7.63,22.9,757,3.08,11,18.9867
7.63,23.2,753,4.25,11,78.32
8.47,21.6,618,10.68,8,69.33099999999999
8.64,22.5,644,13.28,27,134.65699999999998
8.06,21.8,743,8.78,15,134.79049999999995
8.15,22.2,740,10.96,15,113.831
9.27,22.5,618,15.42,20,280.706
8.32,26,698,11.22,16,68.30702150537635
7.68,24.3,788,2.8,2,4.254199999999999
7.8,24.1,789,388,5,24.1368
9.16,24.9,595,10.18,5,32.262499999999996
8.88,26,646,11.61,17,82.236
8.89,24.9,748,12.63,5,100.92599999999999
9.63,27.3,731,17.14,69,847.2800000000001
9.48,22,620,11.26,15,153.61400000000003
8.29,22.9,697,4.9,17,137.32699999999994
9.17,22.6,770,13.97,9,144.892
9.44,22.9,773,18.14,12,416.00824999999986
9.99,25.9,598,11.24,12,70.67
8.68,26.2,676,1.59,34,206.04
9.81,26.1,724,17.96,29,305.63
9.72,26.6,581,10.98,9,34.086999999999996
8.795,25.9,650,5.93,25,141.51000000000005
9.502,25.8,689,13.42,24,235.31599999999997
9.964,27,692,14.6,81,999.9150000000002
NR,NR,NR,NR,NR,815.2400000000002
9.76,25.1,583,10.42,20,65.504
8.54,26,645,4.03,31,108.58
9.13,25,716,6.57,20,65.0056
9.53,26.7,706,13.08,54,462.444
9.78,25.9,570,10.01,11,83.06
8.43,25.9,647,4.76,15,88.29
9.45,26.2,695,13.4,36,404.34
9.43,26,692,13.21,51,353.33
9.58,25,560,6.05,6,34.11
8.37,25.6,653,4.8,18,74.23
8.76,24.9,700,3.26,13,64.73
9.11,25.6,689,9.79,23,161.54
9.73,20.4,678,13.36,30,168.5066666666666
9.04,25.8,659,12.17,28,156.99600000000004
8.55,20.4,778,7.06,8,80.21866666666665
8.86,26.3,667,12.36,18,129.9400000000001
9.53,26,619,14.95,170,161.2680000000003
9.14,27.4,655,13.6,81,125.66799999999995
8.19,25.8,731,6.43,22,73.51399999999998
8.35,26,706,9.2,25,92.20399999999998
8.54,22.6,626,6.8,23,130.88933333333333
7.6,22.5,733,1.8,19,71.3186666666667
9.02,24.1,619,13.31,28,75.12
8.37,25.2,741,10.12,23,154.15
9.41,24.2,617,14.58,33,183.43
8.92,25.6,739,12.79,38,80.28
9.03,26.7,647,8.79,21,76.54
8.67,25.1,762,8.94,21,166.96
9.36,28.4,627,11.5,114,1316.31
8.63,27.1,817,8.59,17,36.16
9.28,26.8,632,14.12,67,183.42899999999992
8.75,26.5,760,8.71,21,80.27799999999996
9.36,25.8,638,14.97,98,19.34
9.08,25.7,761,8.36,49,46.04
9.7,27.2,614,24.1,202,160.38
9.43,27.2,741,16.13,52,220.08
9.61,26.9,600,18.21,51,259.52
9.56,29.9,735,21.6,75,188.92
9.41,26.1,614,14.4,31,77.73
8.62,25.9,698,8.25,24,198.05
8.79,24.7,612,2.35,20,92.32
7.75,24.7,660,0.42,12,9.49
8,23.8,625,0.61,11,25.51
7.67,24.1,662,0.58,9,25.04
9.43,25.1,646,5.07,122,918.84
8.9,21.1,649,3.14,23,886.6
8.65,24,649,2.74,15,268.07
7.73,22.6,662,0.06,6,194.38
8.71,28.1,647,4.81,2670,886.6
8,27.4,677,0.08,27,7.69
9.26,26.8,734,17.6,44,268.07
8.7,24.7,750,3.75,31,137.77
7.88,24,751,0.11,13,121.75
7.54,22.9,757,0.05,16,334.28
8.5,25.2,740,9.35,45,194.38
8.97,26.8,736,11.28,98,166.96
9.06,29.3,627,12.67,41,121.75
9.59,27.7,703,18.44,61,334.28
9.49,27.5,698,18.04,44,279.46
9.46,27.6,702,16.16,40,387.68
9.35,26.7,641,9.03,8,44.86
8.83,28.1,643,11.58,37,106.09
9.33,27.9,683,15.59,60,271.27
9.41,29.1,677,18.51,47,204.34
9.32,28.6,684,19.36,44,174.8
9.52,26.3,635,13.79,25,272.34
8.84,27.6,640,13.55,29,242.79
7.85,24.7,945,2,41,
9.22,26.4,675,14.33,22,227.84
9.4,26.9,670,14.7,49,342.83
9.48,27.9,668,17.72,72,352.44
9.55,26.6,618,10.47,6,55.89
9.16,26.9,609,13.61,27,167.32
9.3,27,629,14.09,19,308.65
9.56,26.3,628,16.62,21,317.55
9.64,27.6,621,18.86,22,453.9
9.69,27,591,14.03,9,157.0
8.72,26.6,617,8.08,26,170.52
8.94,26.1,623,9.57,19,215.74
9.07,26,620,10.16,25,247.06
9.11,26.3,618,11.27,23,246.0
9.206,25.4,599,7.14,9,109.65
7.792,25.5,632,1.05,26,88.64
