Temperatura (C);pH;Oxigeno Disuelto (mg/L);Turbidez (NTU);Conductividad (mS/cm);Clorofila (µg/L)
23.5;8.8;14.43;100;0.743;1378.8437
23.8;8.52;12.92;93;0.76;401.9528649
23.9;8.38;14.15;26;0.768;187.2859526
23.1;8;9.61;233;0.782;1948.046053
23.5;9.09;16.71;25;0.582;234.8338
24;8.66;8.76;18;0.605;189.5456
24;8.4;11;17;0.691;74.5211
23.1;8.23;9.64;36;0.685;292.4832
22.1;8.79;8.21;11;0.57;60.7425
23;7.89;3.33;13;0.619;40.7175
22.7;7.91;3.85;3;0.704;4.005
23;8.32;8.55;7;0.703;79.4325
22.3;8.93;8.63;14;0.552;59.4075
22.8;7.8;3.32;3;0.69;2.67
24.4;9.17;13.5;29;0.608;97.95785
29.1;9.2;21.2;220;0.68;465.9328
28.8;8.3;4.84;14;0.803;33.541875
25;8.48;10.25;90;0.755;828.3764
26.2;9.54;19.42;41;0.629;178.06675
28.4;7.85;9.58;450;0.706;3447.0234
26.7;9.29;17.62;44;0.774;253.1338
26.9;9.32;16.77;210;0.774;463.9392
26.7;9.39;10.31;34;0.64;103.16435
26.5;8.79;2.03;49;0.67;114.365
25.9;9.49;9.36;40;0.728;159.94635
25.8;9.19;10.53;21;0.733;66.70995
26.2;9.46;11.64;13;0.611;36.260825
26.6;8.53;10.54;28;0.651;102.37225
25.9;9.06;11.92;18;0.704;86.46646667
26.5;9.48;17.15;22;0.715;97.31705
25.8;9.27;9.9;10;0.587;60.139525
27.6;8.14;4.21;22;0.659;39.50265
28.7;9.2;10.7;160;0.737;194.7587
26.9;8.61;3.72;11;0.729;10.6355
27.6;9.46;15.46;20;0.561;239.9784657
29.2;8.98;12.57;32;0.604;114.0535
28.1;9.43;17.95;41;0.652;369.50575
28.1;9.38;0;270;0.657;1461.4245
25.8;8.8;12.08;46;0.566;299.574
26;8.06;4.7;41;0.635;261.215
25.7;8;2.46;16;0.675;58.473
25.4;7.27;0.16;11;0.682;11.58483333
23.2;7.59;0.71;16;0.622;21.36
24;7.92;6.3;19;0.653;81.702
24;7.56;0.83;25;0.71;31.328
24;7.57;0.19;21;0.709;31.684
22.9;7.95;5.46;9;0.632;68.14433333
23.2;8.35;8.47;21;0.66;88.61433333
23;7.48;2.79;13;0.735;21.0752
24.1;8.01;7.23;24;0.734;47.1522
