Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-28 11:50:34,4.94,23.81,80.0,0.08,0.5
2025-10-28 11:50:35,4.93,23.81,80.0,0.04,0.5
2025-10-28 11:50:36,4.93,23.87,80.0,0.08,0.5
2025-10-28 11:50:37,4.93,23.81,80.0,0.13,0.5
2025-10-28 11:50:38,4.93,23.81,80.0,0.08,0.5
2025-10-28 11:50:39,4.92,23.81,60.0,0.08,0.5
2025-10-28 11:50:40,4.94,23.87,80.0,0.08,0.5
2025-10-28 11:50:41,4.94,23.81,60.0,0.08,0.5
2025-10-28 11:50:42,4.94,23.81,60.0,0.04,0.5
2025-10-28 11:50:43,4.94,23.81,60.0,0.13,0.5
2025-10-28 11:50:44,4.94,23.81,60.0,0.04,0.5
2025-10-28 11:50:45,4.94,23.81,80.0,0.08,0.5
2025-10-28 11:50:46,4.93,23.87,60.0,0.08,0.5
2025-10-28 11:50:47,4.95,23.81,80.0,0.13,0.5
2025-10-28 11:50:48,4.94,23.81,80.0,0.04,0.5
2025-10-28 11:50:49,4.94,23.81,60.0,0.08,0.5
2025-10-28 11:50:50,4.94,23.81,80.0,0.13,0.5
2025-10-28 11:50:51,4.94,23.87,60.0,0.04,0.5
2025-10-28 11:50:52,4.93,23.81,80.0,0.13,0.5
2025-10-28 11:50:53,4.95,23.87,80.0,0.08,0.5
2025-10-28 11:50:54,4.94,23.81,80.0,0.04,0.5
2025-10-28 11:50:55,4.95,23.81,60.0,0.13,0.5
2025-10-28 11:50:57,4.95,23.81,80.0,0.08,0.5
2025-10-28 11:50:58,4.94,23.87,60.0,0.08,0.5
2025-10-28 11:50:59,4.95,23.81,60.0,0.08,0.5
2025-10-28 11:51:00,4.94,23.87,60.0,0.13,0.5
2025-10-28 11:51:01,4.95,23.81,80.0,0.13,0.5
2025-10-28 11:51:02,4.95,23.87,60.0,0.08,0.5
2025-10-28 11:51:03,4.94,23.87,60.0,0.04,0.5
2025-10-28 11:51:04,4.94,23.81,60.0,0.08,0.5
2025-10-28 11:51:05,4.95,23.87,60.0,0.13,0.5
2025-10-28 11:51:06,4.96,23.81,80.0,0.13,0.5
2025-10-28 11:51:07,4.95,23.87,60.0,0.08,0.5
2025-10-28 11:51:08,4.95,23.87,60.0,0.08,0.5
2025-10-28 11:51:09,4.95,23.87,60.0,0.13,0.5
2025-10-28 11:51:10,4.94,23.87,80.0,0.08,0.5
2025-10-28 11:51:11,4.94,23.87,80.0,0.13,0.5
2025-10-28 11:51:12,4.95,23.81,80.0,0.08,0.5
2025-10-28 11:51:13,4.95,23.81,80.0,0.04,0.5
2025-10-28 11:51:14,4.94,23.81,80.0,0.08,0.5
2025-10-28 11:51:15,4.95,23.81,60.0,0.08,0.5
2025-10-28 11:51:16,4.97,23.87,60.0,0.04,0.5
2025-10-28 11:51:17,4.95,23.81,80.0,0.08,0.5
2025-10-28 11:51:18,4.96,23.81,80.0,0.08,0.5
2025-10-28 11:51:19,4.96,23.87,80.0,0.08,0.5
2025-10-28 11:51:20,4.95,23.81,80.0,0.08,0.5
2025-10-28 11:51:21,4.95,23.87,80.0,0.08,0.5
2025-10-28 11:51:22,4.95,23.81,80.0,0.08,0.5
2025-10-28 11:51:23,4.96,23.87,80.0,0.08,0.5
2025-10-28 11:51:25,4.97,23.87,80.0,0.08,0.5
2025-10-28 11:51:26,4.96,23.81,80.0,0.13,0.5
2025-10-28 11:51:27,4.97,23.81,80.0,0.08,0.5
2025-10-28 11:51:28,4.94,23.87,60.0,0.08,0.5
